				VRZ	VRZ_BY	VRZ	1000	0			0	0	0																										HB		0	BAB	BAB-km												DZS	Adressen		Inselbus		Lokalbus	EAK	UZ 				Prinzip	Steuerung								der SST in															Rechts	Hoch	Höhe (ü. NN)	Koordinaten	nur bei Einbiegern			nur bei Abb.	zwischen-/ bei-As	und-AS	
				UZ	UZ_BY	UZ	1000	1			201	1																											HB		0		von	bis	Topographie	Bezeichnung	Location	Dist.	XHI	HI	LO 	IP-Adresse SM	Subnetzmaske	Port-Nr.(IP)	Zst.Nr.	FG	DE-Kanal	Port	Slave/SM	Slave	Kanal	ID	intern	Version	Typ	Anzeige		Bemerkungen 1	Bemerkungen 2	Bemerkungen 3	Typ	Bit	Projekt	Hers.	Fahrtrichtung										WVZ-Semantik (nur für PW)								neu 03/2015	von Richtung	von Str. Nr.	in Richtung	Str. in Richtg.			
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	173	205	4	33	6	028	7	TLS97				Prismenwender Antrieb Zeile 2 (unten)	PW	Motor 6			NBA N-SW	10	Würzburg	Prisma (VWW1)	Prismenwender	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	175	205	4	33	10	028	7	TLS97				Wechseltextanzeige oben Zeile 1	WT	WT-Steuerung 1			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	176	205	4	33	11	028	7	TLS97				Wechseltextanzeige oben Zeile 2	WT	WT-Steuerung 1			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	177	205	4	33	12	028	7	TLS97				Wechseltextanzeige oben Zeile 3	WT	WT-Steuerung 1			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	178	205	4	33	13	028	7	TLS97				Wechseltextanzeige unten Zeile 1	WT	WT-Steuerung 2			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	179	205	4	33	14	028	7	TLS97				Wechseltextanzeige unten Zeile 2	WT	WT-Steuerung 2			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	180	205	4	33	15	028	7	TLS97				Wechseltextanzeige unten Zeile 3	WT	WT-Steuerung 2			NBA N-SW	10	Würzburg	Prisma (VWW1)	Wechseltext	A637,3			A007A637,3	637,341						Süd/ West	Rechts	10,066745032	50,016142759	275,765		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					4	193	205	4	33	0	028	7	TLS97				Clusterkanal FG4	CK				NBA N-SW	10	Würzburg	SS A007A637,3	Cluster	A637,3			A007A637,3	637,311						Süd/ West	Rechts	10,066699349	50,016419291	274,399		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					6	1	205	4	32	1	028	7	TLS97				Tür zu / auf	DE				NBA N-SW	10	Würzburg	SS A007A637,3	Türkontakt	A637,3			A007A637,3	637,311						Süd/ West	Rechts	10,066699349	50,016419291	274,399		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	637,302		AS Schweinfurt-Niederwerrn - 1200m	A 007 A 637,3	12292	59	30	4	3B					6	2	205	4	32	2	028	7	TLS97				Heizung aus / ein	DE				NBA N-SW	10	Würzburg	SS A007A637,3	Heizung	A637,3			A007A637,3	637,311						Süd/ West	Rechts	10,066699349	50,016419291	274,399		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
