NewId;OldId;DE;LOD;DIST;KontenNr
wzg.cluster_aq_b2n_005440_gap_lsa_cluster_195.m.de;;195;809;141;207245
wzg.wzg_99_26020_sbg_b3_99.m.de;;99;38741;229;9917925
wzg.wzg_9_490336_mch_b1_97.m.de;WZG_AQ_9_490336_Mch_97;97;3586;44;918060
wzg.wzg_99_30830_sbg_a5_37.m.de;;37;38704;59;9908283
wzg.wzgaq202c-mch_a1_134.m.de;;134;36782;37;9416229
wzg.aqq37_sbg_dlzfs1_8.m.de;;8;3152;248;807160
wzg.dlz_96_139930_mch_dlz2_10.m.de;;10;37575;35;9619235
wzg.cluster_aq_96_160770_lin_193.m.de;;193;37577;6;9619718
wzg.wzgaq202d-mch_a2_35.m.de;;35;36791;253;9418749
wzg.wzg_b2n_008848_mch_b1_133.m.de;;133;848;208;217296
aq.aq92-117-deg.m.de;;0;35962;123;9206395
wzg.wzg_9_484325_mch_c1_105.m.de;WZG_AQ_9_484325_Mch_105;105;3585;9;917769
wzg.wzg_b2n_007965_mch_dlz1_gv_41.m.de;;41;848;197;217285
wzg.wzg_b2_askre_1556_bc_pw5_5.m.de;;5;37172;31;9516063
wzg.cluster_wwq_a7_960_085_fue_193.m.de;;193;2812;6;719878
aq.aq_st2007_19_195_fue_st2007.m.de;;0;2810;37;719397
wzg.wzg_99_14110_stg_b2_66.m.de;;66;38738;119;9917047
wzg.wzg_96_145861_mch_c1_73.m.de;;73;37575;172;9619372
aq.aqaq198b-mch.m.de;;0;36782;29;9416221
wzg.wzg_8_11300_stg_a3_35.m.de;;35;3145;88;805208
aq.aqq207_mch_h.m.de;;0;3198;222;818910
wzg.cluster_aq_99_7588_sbg_194.m.de;;194;38736;144;9916560
wzg.wzg_9_511350_mch_w10_234.m.de;WWQ_9586_234;234;3590;46;919086
wzg.wzg_b2n_008648_gap_dlz1_gv_9.m.de;;9;809;189;207293
wzg.aq_94_ampf_0166_em_lsa1_33.m.de;;33;36790;255;9418495
aq.aq_a7_960_920_ulm.m.de;;0;2773;18;709906
wzg.wzg_96_137000_mch_blinker_129.m.de;;129;37574;223;9619167
wzg.cluster_aq92-117-deg_194.m.de;;194;35962;123;9206395
wzg.wzg_96_160362_lin_wta1_105.m.de;;105;37576;252;9619708
wzg.cluster_aq9-280-nbg_194.m.de;AQ_AQ9_280_Nbg_194;194;35277;238;9031150
aq.aqb14_mch_h.m.de;;0;3192;173;817325
