VERSIONNR;LOCATIONCODE;TYPE;SUBTYPE;ROADNUMBER;ROADNAME;FIRST_NAME;SECOND_NAME;ADMIN_AREA;AREA_REFERENCE;LINEAR_REFERENCE;NEGATIVE_OFFSET;POSITIVE_OFFSET;INTERSECTIONCODE;LATITUDE;LONGITUDE;URBAN;IN_POSITIVE;OUT_POSITIVE;IN_NEGATIVE;OUT_NEGATIVE;PRESENT_POSITIVE;PRESENT_NEGATIVE
20.0;1130;A10;0;;;Ebern;;;00454;;;;;;;;;;;;;;
20.0;1883;A10;0;;;Maroldsweisach;;;00454;;;;;;;;;;;;;;
20.0;1284;A10;0;;;Gädheim;;;00454;;;;;;;;;;;;;;
20.0;3231;A9;1;;;Würzburg;;;00303;;;;;;;;;;;;;;
20.0;31897;A10;0;;;Kürnach;;;03231;;;;;;;;;;;;;;
20.0;31703;A10;0;;;Eibelstadt;;;03231;;;;;;;;;;;;;;
20.0;5379;A10;0;;;Uettingen;;;03231;;;;;;;;;;;;;;
20.0;46790;A10;0;;;Holzkirchen;;;03231;;;;;;;;;;;;;;
20.0;1336;A10;0;;;Giebelstadt;;;03231;;;;;;;;;;;;;;
20.0;2209;A10;0;;;Randersacker;;;03231;;;;;;;;;;;;;;
20.0;46853;A10;0;;;Hettstadt;;;03231;;;;;;;;;;;;;;
20.0;1216;A10;0;;;Estenfeld;;;03231;;;;;;;;;;;;;;
20.0;46791;A10;0;;;Greußenheim;;;03231;;;;;;;;;;;;;;
20.0;2570;A10;0;;;Unterpleichfeld;;;03231;;;;;;;;;;;;;;
20.0;2072;A10;0;;;Ochsenfurt;;;03231;;;;;;;;;;;;;;
20.0;31612;A10;0;;;Rottendorf;;;03231;;;;;;;;;;;;;;
20.0;60419;A10;0;;;Theilheim;;;03231;;;;;;;;;;;;;;
20.0;60416;A10;0;;;Rimpar;;;03231;;;;;;;;;;;;;;
20.0;2423;A10;0;;;Sommerhausen;;;03231;;;;;;;;;;;;;;
20.0;46792;A10;0;;;Leinach;;;03231;;;;;;;;;;;;;;
20.0;46797;A10;0;;;Erlabrunn;;;03231;;;;;;;;;;;;;;
20.0;46795;A10;0;;;Zell a. Main;;;03231;;;;;;;;;;;;;;
20.0;46768;A10;0;;;Thüngersheim;;;03231;;;;;;;;;;;;;;
20.0;3880;A10;0;;;Höchberg;;;03231;;;;;;;;;;;;;;
