AB_EAID4Vergleich	BAB	FAHRTRICHTUNG	BABKM	TYP	ID	NAME	LOC	DIST	FG	DE	PORT	SLAVE	EAK	EA	KOMMENTAR	TLSTYP	EAID	HERSTELLER	IFACEKEY	MAKRO	FAHRSTREIFEN	WZGTYP	LATITUDE	LONGITUDE	AB_ID	AB_4ID	AB_ROUTE	AB_ANZEIGEPRINZIP	AB_STEUERUNG	AB_ZS	AB_FAHRTRICHTUNG	AB_TLSTYP	AB_FAHRBAHNBREITE	AB_AQTYP	AB_ASPICT	AB_ASFLIP	AB_ENDE	Quelldatei	Tabellenblatt	Status	CSV-Filter	a	b	c	d	e	f	g	h	i	j	k	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
																																												FS-Bezug	FS-Bezug	WVZ-Typ	Anschluss-Nr.		Beschriftung    für BuV Oberfläche	Fa.-Ri    (N,S,O,W)	WGS 84 (rechter FB-Rand)						Logische Adressen			Physikalische Adresse							
591856403529	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	73	200	5	33	6				6		CD	12	C	48.3057	11.6276	AQ9_350_Nbg_194			d	3	61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				d	3	C1	C1	C		6							WZGx	WZG9-350-Nbg_C1		4	73			33	6		61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201		
591856403530	A9	N	514,000	AQ	AQ9_350_Nbg	AQ9-350-Nbg	35277	100	4	74	200	5	33	8				6		AB	14	C	48.3057	11.6276	AQ9_350_Nbg_194			b	3	61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201	N/O	194		3sp_A9FB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	3	C2	C2	C		6							WZGx	WZG9-350-Nbg_C2		4	74			33	8		61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201		
591856403652	A9	N	514,000	AQ	AQ9_350_Nbg_P	AQ9-350-Nbg_P	35277	100	4	196	200	5	34	0				6					48.3057	11.6276	AQ9_350_Nbg_P_196	196					N/O	196		2sp_PFB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	514000	AQx	AQ9-350-Nbg_P							0				
591856403465	A9	N	514,000	AQ	AQ9_350_Nbg_P	AQ9-350-Nbg_P	35277	100	4	9	200	5	34	1				6		AB	11	A	48.3057	11.6276	AQ9_350_Nbg_P_196			b	2	22,24,26,28,30,33,42,44,46,48,50,54,111,113:82	N/O	196		2sp_PFB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	A1	P_A1	A		6							WZGx	WZG9-350-Nbg_P_A1		4	9			34	1		22,24,26,28,30,33,42,44,46,48,50,54,111,113:82		
591856403466	A9	N	514,000	AQ	AQ9_350_Nbg_P	AQ9-350-Nbg_P	35277	100	4	10	200	5	34	2				6		AB	13	A	48.3057	11.6276	AQ9_350_Nbg_P_196			b	2	22,24,26,28,30,33,42,44,46,48,50,54,111,114:82	N/O	196		2sp_PFB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	A2	P_A2	A		6							WZGx	WZG9-350-Nbg_P_A2		4	10			34	2		22,24,26,28,30,33,42,44,46,48,50,54,111,114:82		
591856403523	A9	N	514,000	AQ	AQ9_350_Nbg_P	AQ9-350-Nbg_P	35277	100	4	67	200	5	34	3				6		AB	12	B	48.3057	11.6276	AQ9_350_Nbg_P_196			b	2	1,3,4,8,9,31,32,51,52,53	N/O	196		2sp_PFB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	B1	P_B1	B		6							WZGx	WZG9-350-Nbg_P_B1		4	67			34	3		1,3,4,8,9,31,32,51,52,53		
591856403531	A9	N	514,000	AQ	AQ9_350_Nbg_P	AQ9-350-Nbg_P	35277	100	4	75	200	5	34	4				6		AB	12	C	48.3057	11.6276	AQ9_350_Nbg_P_196			b	3	61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201	N/O	196		2sp_PFB_NO				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	3	C1	P_C1	C		6							WZGx	WZG9-350-Nbg_P_C1		4	75			34	4		61,62,63,64,65,66,67,68,69,70,71,72,74,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98,100,101,102,200,201		
591856403969	A9	N	514,000		BMS9_350_Tuer	BMS9-350_Tuer	35277	100	6	1	200	5	32	1				6							BMS9_350_Tuer						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							BMS_Tuer	BMS9-350_Tuer		6	1			32	1				
591856403970	A9	N	514,000		BMS9_350_Temp	BMS9-350_Temp	35277	100	6	2	200	5	32	2				6							BMS9_350_Temp						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							BMS_Temp	BMS9-350_Temp		6	2			32	2				
591856403971	A9	N	514,000		BMS9_350_Netz	BMS9-350_Netz	35277	100	6	3	200	5	32	3				6							BMS9_350_Netz						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6							BMS_Netz	BMS9-350_Netz		6	3			32	3				
