TYPE	NAME	MATCHLEVEL	DE	PROGRAM	TEXT
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Internet World Expo
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Messe
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Messe
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Messe/ICM
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Messe/ICM
CONTENT			wzg.wzgwwq04-mch_wta1_226.m.de		Test
CONTENT			wzg.wzgwwq04-mch_wta2_227.m.de		Test
					
RULE	Rule-S-11c	1			
STRATEGY	S-11c				
MAIN_ROUTE_STRATEGY	S-11b				
REQUIREMENT	S-11c-WWK_9450100	1			
CONDITION	S-11c-AQGAQ188-Mch				
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq188-mch_w2_2.m.de	242	
CONDITION	S-11c-AQAQ190-Mch				
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq190-mch_w2_2.m.de	242	
CONDITION	S-11c-AQAQ194-Mch				
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	241	
CONTENT			wzg.wzgaq194-mch_w2_2.m.de	242	
REQUIREMENT	S-11c-WWK_9403 	1			
CONDITION	S-11c-AQWWQ05_Mch				
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		Fujitsu Forum
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		productronica
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		productronica
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		GBTA Conference
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		GBTA Conference
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		ICIS
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		ICIS
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		Heim + Handwerk
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		TRENDSET
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		TRENDSET
CONTENT			wzg.wzgwwq05-mch_wta1_226.m.de		BAU
CONTENT			wzg.wzgwwq05-mch_wta2_227.m.de		BAU
