2026-01-09T16:13:45.700106500Z
ID_CLASS	ID_PERM	ID_NAME	TLS_KNOTENNUMMER	TLS_LOC	TLS_DIST	TLS_FG	TLS_DE	FD	TLS_PORT	TLS_SLAVE	TLS_EAK	TLS_EA	TLS_WZGTYP	TLS_ZEICHENSATZ	TLS_ANZEIGEPRINZIP	TLS_HERSTELLER	TLS_TYP	TLS_REF	TLS_FAHRTR	LOC_LANE	LOC_WGS84_COOR_LAT	LOC_WGS84_COOR_LONG	LOC_ID_ASFiNAG	EFH	TLS_IFACEKEY
MQ	vde.mq_93_198300_hof_h2_2.m.de	MQ_93_198300_Hof_H2	9306865	36354	241	1	2		200	2	32						0	mq.mq_93_198300_hof.m.de		F2			A93																				
MQ	vde.mq_93_198300_hof_h1_1.m.de	MQ_93_198300_Hof_H1	9306865	36354	241	1	1		200	2	32						0	mq.mq_93_198300_hof.m.de		F1			A93																				
EQ	mq.mq_93_198300_mch.m.de	MQ_93_198300_Mch	9306865	36354	241	1	0		200	2	32						0						A93																				
MQ	vde.mq_93_198300_mch_h1_33.m.de	MQ_93_198300_Mch_H1	9306865	36354	241	1	33		200	2	32						0	mq.mq_93_198300_mch.m.de		F1			A93																				
MQ	vde.mq_93_198300_mch_h2_34.m.de	MQ_93_198300_Mch_H2	9306865	36354	241	1	34		200	2	32						0	mq.mq_93_198300_mch.m.de		F2			A93																				
SST	sst.sst_93_194370_mch.m.de	SST_93_194370_Mch	9316682	36393	74	254	0		200	1	0						0	ib.sst_93_186650_mch.m.de					A93																				
VLT	vlt.bms_93_194370_mch_netz_3.m.de	BMS_93_194370_Mch_Netz	9316682	36393	74	6	3		200	1	32						51	sst.sst_93_194370_mch.m.de					A93																				
VLT	vlt.bms_93_194370_mch_temp_2.m.de	BMS_93_194370_Mch_Temp	9316682	36393	74	6	2		200	1	32						49	sst.sst_93_194370_mch.m.de					A93																				
VLT	vlt.bms_93_194370_mch_tuer_1.m.de	BMS_93_194370_Mch_Tuer	9316682	36393	74	6	1		200	1	32						48	sst.sst_93_194370_mch.m.de					A93																				
EQ	mq.mq_93_194370_mch.m.de	MQ_93_194370_Mch	9316682	36393	74	1	0		200	1	32						0						A93																				
MQ	vde.mq_93_194370_mch_h2_34.m.de	MQ_93_194370_Mch_H2	9316682	36393	74	1	34		200	1	32						0	mq.mq_93_194370_mch.m.de		F2			A93																				
MQ	vde.mq_93_194370_mch_h1_33.m.de	MQ_93_194370_Mch_H1	9316682	36393	74	1	33		200	1	32						0	mq.mq_93_194370_mch.m.de		F1			A93																				
EQ	mq.mq_93_194370_hof.m.de	MQ_93_194370_Hof	9316682	36393	74	1	0		200	1	32						0						A93																				
MQ	vde.mq_93_194370_hof_h2_2.m.de	MQ_93_194370_Hof_H2	9316682	36393	74	1	2		200	1	32						0	mq.mq_93_194370_hof.m.de		F2			A93																				
MQ	vde.mq_93_194370_hof_h1_1.m.de	MQ_93_194370_Hof_H1	9316682	36393	74	1	1		200	1	32						0	mq.mq_93_194370_hof.m.de		F1			A93																				
